"cvegeo","anio","indicador","valor_indicador"
31001,2010,"pobreza",52
31002,2010,"pobreza",57.3
31003,2010,"pobreza",78
31004,2010,"pobreza",54.6
31005,2010,"pobreza",42.9
31006,2010,"pobreza",82.2
31007,2010,"pobreza",59.5
31008,2010,"pobreza",85.9
31009,2010,"pobreza",68.6
31010,2010,"pobreza",80.6
31011,2010,"pobreza",81
31012,2010,"pobreza",86.6
31013,2010,"pobreza",39.5
31014,2010,"pobreza",63.3
31015,2010,"pobreza",72.9
31016,2010,"pobreza",92.8
31017,2010,"pobreza",84.1
31018,2010,"pobreza",56.8
31019,2010,"pobreza",85.6
31020,2010,"pobreza",60.4
31021,2010,"pobreza",90.5
31022,2010,"pobreza",93.3
31023,2010,"pobreza",56.4
31024,2010,"pobreza",92.5
31025,2010,"pobreza",90.3
31026,2010,"pobreza",61.6
31027,2010,"pobreza",60.3
31028,2010,"pobreza",54.1
31029,2010,"pobreza",70.3
31030,2010,"pobreza",86.7
31031,2010,"pobreza",74.3
31032,2010,"pobreza",77.7
31033,2010,"pobreza",67.2
31034,2010,"pobreza",71.4
31035,2010,"pobreza",69.7
31036,2010,"pobreza",75.9
31037,2010,"pobreza",79
31038,2010,"pobreza",63.3
31039,2010,"pobreza",55.1
31040,2010,"pobreza",60
31041,2010,"pobreza",41.2
31042,2010,"pobreza",77
31043,2010,"pobreza",79.1
31044,2010,"pobreza",80.5
31045,2010,"pobreza",48.8
31046,2010,"pobreza",88.6
31047,2010,"pobreza",85.2
31048,2010,"pobreza",51.9
31049,2010,"pobreza",93
31050,2010,"pobreza",27
31051,2010,"pobreza",36.3
31052,2010,"pobreza",48.3
31053,2010,"pobreza",71.4
31054,2010,"pobreza",54.4
31055,2010,"pobreza",81
31056,2010,"pobreza",72.6
31057,2010,"pobreza",78.8
31058,2010,"pobreza",79.3
31059,2010,"pobreza",45.9
31060,2010,"pobreza",82
31061,2010,"pobreza",41.1
31062,2010,"pobreza",68.5
31063,2010,"pobreza",56
31064,2010,"pobreza",54.2
31065,2010,"pobreza",35.7
31066,2010,"pobreza",86
31067,2010,"pobreza",69
31068,2010,"pobreza",70
31069,2010,"pobreza",75.7
31070,2010,"pobreza",77.1
31071,2010,"pobreza",69.6
31072,2010,"pobreza",39.9
31073,2010,"pobreza",95.6
31074,2010,"pobreza",68.4
31075,2010,"pobreza",88.1
31076,2010,"pobreza",60.1
31077,2010,"pobreza",80.8
31078,2010,"pobreza",70.5
31079,2010,"pobreza",71.4
31080,2010,"pobreza",76.4
31081,2010,"pobreza",92.4
31082,2010,"pobreza",69.1
31083,2010,"pobreza",43.1
31084,2010,"pobreza",79.6
31085,2010,"pobreza",80.6
31086,2010,"pobreza",49.4
31087,2010,"pobreza",75.2
31088,2010,"pobreza",58.5
31089,2010,"pobreza",60.5
31090,2010,"pobreza",63.1
31091,2010,"pobreza",60.3
31092,2010,"pobreza",93.3
31093,2010,"pobreza",42.1
31094,2010,"pobreza",81.4
31095,2010,"pobreza",39.6
31096,2010,"pobreza",71.1
31097,2010,"pobreza",85.1
31098,2010,"pobreza",84.1
31099,2010,"pobreza",91.5
31100,2010,"pobreza",54.8
31101,2010,"pobreza",44.7
31102,2010,"pobreza",62.2
31103,2010,"pobreza",77
31104,2010,"pobreza",72.3
31105,2010,"pobreza",63.8
31106,2010,"pobreza",46.1
31001,2015,"pobreza",49.4
31002,2015,"pobreza",44.7
31003,2015,"pobreza",64
31004,2015,"pobreza",47.6
31005,2015,"pobreza",28.8
31006,2015,"pobreza",75.7
