Clave  entidad + municipio,Municipio,Población 1,Porcentaje de población  en situación de pobreza,Porcentaje de población  en situación de pobreza moderada,Porcentaje de población  en situación de pobreza extrema,Porcentaje de población  vulnerable por carencias sociales,Porcentaje de población  vulnerable por ingresos,Porcentaje de población  no pobre y no vulnerable,Porcentaje de población con al menos una carencia social,Porcentaje de población con almenos tres carencias sociales,Porcentaje de población con carencia por rezago educativo,Porcentaje de población con carencia por acceso a los servicios de salud,Porcentaje de población con carencia por acceso a la seguridad social,Porcentaje de población con carencia por calidad y espacios de la vivienda,Porcentaje de población con carencia por acceso a los servicios básicos en la vivienda,Porcentaje de población con carencia por acceso a la alimentación,Porcentaje de población con ingreso inferior a la línea de bienestar,Porcentaje de población con ingreso inferior a la línea de bienestar mínimo,Coeficiente de Gini
31001,Abalá,"6,600",49.4,39.7,9.6,43.7,1.4,5.6,93.1,44.1,37.7,11.0,63.9,21.5,81.8,17.1,50.7,15.2,0.32
31002,Acanceh,"20,657",44.7,39.7,5.0,39.2,4.9,11.3,83.8,31.2,24.9,15.3,42.9,21.0,70.1,14.6,49.6,10.1,0.35
31003,Akil,"8,272",64.0,46.6,17.5,29.7,1.6,4.6,93.7,53.8,38.1,19.0,78.7,33.5,79.5,8.4,65.7,27.5,0.47
31004,Baca,"5,899",47.6,41.3,6.4,23.0,12.7,16.7,70.6,19.5,22.2,11.6,31.0,17.9,45.2,15.8,60.4,19.0,0.34
31005,Bokobá,"2,224",28.8,25.3,3.5,55.3,1.5,14.4,84.1,23.7,25.4,6.3,60.0,17.7,45.3,15.7,30.3,7.3,0.35
31006,Buctzotz,"9,018",75.7,57.8,17.9,18.1,2.0,4.2,93.8,40.2,33.3,12.3,84.4,16.6,58.6,15.0,77.6,37.0,0.38
31007,Cacalchén,"7,333",58.4,48.5,9.9,20.8,9.6,11.2,79.2,25.0,27.8,15.1,34.8,11.4,60.3,16.6,68.0,25.7,0.38
31008,Calotmul,"4,052",88.7,55.7,33.0,9.1,1.0,1.1,97.8,49.1,37.2,5.0,82.3,17.4,83.0,28.9,89.7,59.3,0.38
31009,Cansahcab,"4,648",59.7,48.0,11.7,24.3,5.0,11.0,84.0,30.3,29.3,10.8,50.3,21.2,64.1,11.5,64.7,24.9,0.38
31010,Cantamayec,"2,557",67.7,51.0,16.6,31.5,0.2,0.6,99.2,51.4,36.7,5.8,88.9,34.2,79.2,18.9,67.9,26.1,0.31
31011,Celestún,"7,954",79.4,61.2,18.2,18.2,1.1,1.3,97.6,38.7,36.7,11.4,92.1,26.5,32.7,29.2,80.5,37.8,0.38
31012,Cenotillo,"3,933",82.1,59.1,22.9,15.3,1.3,1.3,97.4,42.9,34.7,8.7,83.4,15.9,72.8,22.5,83.4,46.3,0.37
31013,Conkal,"13,918",27.0,25.0,2.0,41.7,6.4,25.0,68.6,18.5,21.0,14.7,48.9,10.0,35.3,9.1,33.3,5.2,0.38
31014,Cuncunul,"1,596",59.7,43.6,16.2,37.5,0.2,2.5,97.3,51.1,32.3,4.4,83.7,29.6,84.4,21.6,60.0,23.8,0.35
31015,Cuzamá,"5,259",72.0,55.0,17.0,21.9,2.8,3.3,93.9,41.5,31.9,12.7,62.9,29.1,76.2,16.4,74.8,31.9,0.33
31016,Chacsinkín,"3,061",90.1,52.1,38.1,9.3,0.2,0.4,99.4,59.0,34.5,1.7,93.2,34.2,78.7,34.8,90.3,60.7,0.38
31017,Chankom,"4,652",87.3,52.2,35.1,12.0,0.2,0.4,99.4,55.6,32.7,4.8,87.4,35.1,81.9,29.6,87.5,55.2,0.34
31018,Chapab,"3,201",63.6,47.7,15.9,32.7,0.6,3.1,96.4,50.2,29.0,2.6,80.7,30.7,85.5,25.5,64.2,24.0,0.33
31019,Chemax,"23,408",79.6,48.2,31.4,19.6,0.2,0.6,99.3,74.4,39.5,7.3,92.4,52.9,90.1,27.6,79.8,38.0,0.38
31020,Chicxulub Pueblo,"4,536",56.7,46.4,10.3,20.9,9.4,13.0,77.6,27.4,18.8,17.2,50.9,17.9,46.8,16.2,66.1,24.2,0.35
31021,Chichimilá,"8,498",88.8,47.7,41.1,8.2,1.3,1.7,97.0,58.6,26.6,5.9,86.0,46.1,81.6,22.9,90.1,63.0,0.40
31022,Chikindzonot,"4,229",93.2,54.3,39.0,6.7,0.0,0.0,99.9,56.6,32.2,3.6,93.2,39.9,82.7,14.5,93.3,66.2,0.39
31023,Chocholá,"4,761",53.6,44.7,8.9,25.9,7.9,12.6,79.5,25.4,21.6,12.0,41.4,15.5,56.1,21.9,61.5,20.1,0.49
31024,Chumayel,"3,358",85.5,56.3,29.1,13.1,0.5,0.9,98.6,51.8,38.7,6.5,86.3,24.7,82.8,18.2,86.0,49.7,0.38
31025,Dzán,"5,438",83.4,60.2,23.2,14.0,0.9,1.7,97.4,40.1,30.0,5.0,87.9,19.6,81.8,8.2,84.3,50.9,0.42
31026,Dzemul,"3,717",50.3,43.5,6.8,24.2,10.9,14.5,74.6,20.2,27.3,11.3,38.6,12.8,41.5,16.2,61.2,20.7,0.35
31027,Dzidzantún,"8,299",47.6,40.8,6.8,25.0,8.7,18.6,72.6,20.4,20.6,6.6,52.5,15.5,39.9,13.1,56.3,22.8,0.44
31028,Dzilam de Bravo,"2,784",47.3,41.1,6.2,44.2,1.9,6.7,91.5,20.4,22.3,17.3,82.5,15.1,16.2,17.8,49.1,17.3,0.40
31029,Dzilam González,"6,212",71.9,57.6,14.3,14.6,6.5,7.0,86.5,29.7,28.2,6.3,67.7,18.6,52.6,13.2,78.4,38.2,0.44
31030,Dzitás,"3,840",86.8,53.4,33.5,10.7,0.9,1.5,97.6,54.9,32.1,7.6,85.2,38.4,88.9,11.2,87.8,54.2,0.39
31031,Dzoncauich,"2,648",63.1,50.3,12.8,33.7,0.9,2.3,96.8,38.7,37.4,2.0,77.8,23.0,74.3,12.8,64.1,23.8,0.32
31032,Espita,"9,757",75.8,49.8,26.0,18.8,1.5,3.8,94.6,59.4,40.4,7.7,83.5,29.3,84.7,24.2,77.3,36.7,0.41
31033,Halachó,"22,708",55.1,44.6,10.4,38.0,2.7,4.3,93.0,52.9,36.5,10.3,67.3,31.7,82.3,22.5,57.8,16.6,0.36
31034,Hocabá,"6,181",70.8,54.5,16.3,23.8,2.7,2.7,94.6,43.5,33.8,7.5,58.7,34.2,79.7,19.8,73.6,29.9,0.34
31035,Hoctún,"6,066",72.9,51.6,21.3,16.3,5.4,5.4,89.2,42.0,35.3,18.2,60.6,26.8,60.9,18.0,78.3,38.1,0.38
31036,Homún,"7,786",72.1,53.1,19.0,19.5,4.1,4.3,91.6,42.9,30.5,20.8,59.8,30.5,71.3,19.6,76.2,33.6,0.34
31037,Huhí,"5,297",84.5,59.3,25.3,11.1,2.8,1.5,95.7,43.5,35.5,7.5,73.6,24.2,78.1,17.8,87.3,48.8,0.35
31038,Hunucmá,"30,893",55.8,45.6,10.2,29.1,5.3,9.8,84.9,40.5,29.4,21.3,57.9,28.1,59.2,17.1,61.1,17.0,0.38
31039,Ixil,"4,135",55.7,47.3,8.4,23.4,9.4,11.6,79.0,23.3,24.5,10.5,52.7,14.5,43.2,16.6,65.0,24.5,0.48
31040,Izamal,"26,652",48.9,41.9,6.9,32.6,6.9,11.6,81.5,33.4,29.2,12.0,44.0,25.3,64.1,15.5,55.8,14.8,0.38
31041,Kanasín,"98,317",40.6,35.8,4.8,26.5,11.3,21.7,67.0,24.4,22.6,16.8,48.1,15.9,24.5,21.6,51.8,10.2,0.36
31042,Kantunil,"5,537",82.1,53.2,28.9,14.9,1.9,1.1,97.0,52.6,29.8,7.4,81.1,28.7,76.5,31.3,84.0,48.1,0.35
31043,Kaua,"3,166",81.1,55.7,25.4,17.8,0.5,0.6,98.9,52.8,30.4,11.9,89.3,29.8,82.3,23.5,81.6,42.2,0.32
31044,Kinchil,"7,296",65.1,52.3,12.8,25.7,4.3,4.8,90.8,37.4,31.6,6.8,49.7,28.8,79.3,15.2,69.5,26.2,0.33
31045,Kopomá,"2,553",45.2,38.1,7.1,43.7,2.2,9.0,88.8,31.5,21.9,12.7,44.0,23.9,73.9,17.5,47.3,13.4,0.32
31046,Mama,"3,259",78.9,58.7,20.2,18.2,1.3,1.5,97.2,43.6,41.5,8.3,81.4,18.1,83.4,9.3,80.3,42.8,0.54
31047,Maní,"5,718",77.7,55.1,22.6,18.9,1.1,2.3,96.6,46.3,35.9,3.6,86.9,24.5,68.0,24.6,78.8,40.8,0.38
31048,Maxcanú,"39,099",41.7,36.2,5.5,49.2,3.0,6.0,90.9,50.8,32.8,10.5,62.1,35.5,83.4,23.7,44.8,8.5,0.33
31049,Mayapán,"3,756",92.4,56.6,35.8,6.9,0.5,0.3,99.2,55.6,45.4,9.8,70.8,46.6,91.8,0.8,92.9,63.0,0.37
31050,Mérida,"936,261",22.9,21.1,1.8,31.1,8.9,37.0,54.1,12.4,12.4,18.4,39.0,9.0,11.6,13.8,31.8,5.0,0.40
31051,Mocochá,"3,264",32.0,27.9,4.2,44.4,3.7,19.9,76.4,22.3,24.6,10.5,43.6,9.6,41.4,25.4,35.8,9.2,0.34
31052,Motul,"39,777",47.1,40.4,6.8,35.7,5.6,11.6,82.8,35.4,27.4,19.9,50.0,18.4,58.9,23.0,52.7,12.5,0.38
31053,Muna,"11,494",61.5,47.8,13.7,30.8,2.8,4.9,92.3,49.8,32.2,15.6,73.4,22.4,76.2,24.5,64.4,21.6,0.38
31054,Muxupip,"2,880",41.3,34.2,7.0,46.9,2.0,9.8,88.1,27.2,28.1,3.9,48.4,19.0,69.5,16.4,43.3,13.4,0.36
31055,Opichén,"6,892",75.1,51.5,23.6,21.6,1.8,1.5,96.7,50.7,34.6,17.4,65.9,29.8,83.6,22.6,76.8,40.4,0.36
31056,Oxkutzcab,"21,227",64.3,45.9,18.4,24.7,2.8,8.3,89.0,49.6,37.3,17.5,76.8,25.7,66.0,16.6,67.1,28.5,0.44
31057,Panabá,"7,903",73.7,55.3,18.4,22.0,1.6,2.7,95.7,43.8,33.7,5.9,84.5,19.3,70.6,21.3,75.3,35.4,0.37
31058,Peto,"15,216",70.1,48.4,21.7,20.6,2.5,6.8,90.7,47.5,29.5,7.8,80.0,28.1,71.2,20.6,72.6,34.0,0.43
31059,Progreso,"57,820",37.4,34.4,3.0,34.2,8.1,20.3,71.6,17.6,19.6,13.1,60.3,16.8,10.7,17.1,45.5,8.8,0.38
31060,Quintana Roo,978,56.4,42.6,13.8,43.2,0.1,0.4,99.6,50.0,26.3,22.1,78.9,15.8,86.0,28.3,56.4,20.4,0.35
31061,Río Lagartos,"3,547",24.2,21.4,2.8,49.4,4.2,22.2,73.7,17.3,29.8,5.5,44.2,19.9,25.6,13.9,28.4,7.4,0.37
31062,Sacalum,"4,891",73.8,50.4,23.4,18.2,3.7,4.3,92.0,48.4,30.7,8.3,70.7,25.3,73.0,32.8,77.5,39.0,0.36
31063,Samahil,"5,194",49.9,43.0,6.9,36.9,3.8,9.5,86.8,25.3,22.2,3.3,37.1,22.9,72.8,17.7,53.7,15.7,0.33
31064,Sanahcat,"1,703",51.9,41.9,10.0,39.2,1.9,7.0,91.1,38.3,29.7,3.3,60.6,33.1,68.2,19.3,53.8,17.1,0.32
31065,San Felipe,"1,973",18.9,17.8,1.1,50.8,6.5,23.8,69.7,13.5,26.8,3.6,45.9,19.3,19.1,7.9,25.3,5.2,0.36
31066,Santa Elena,"4,108",80.1,54.9,25.2,16.8,1.6,1.5,96.9,49.4,32.9,4.3,85.9,25.3,79.7,21.4,81.7,43.2,0.38
31067,Seyé,"9,871",72.8,55.1,17.7,18.3,5.0,3.9,91.1,39.8,30.8,16.8,64.3,21.3,67.2,18.8,77.8,35.7,0.34
31068,Sinanché,"3,135",68.2,54.6,13.7,19.7,6.4,5.7,88.0,26.7,26.4,5.8,67.0,15.8,49.2,19.3,74.6,38.0,0.38
31069,Sotuta,"9,035",82.9,54.4,28.5,13.9,1.4,1.8,96.7,53.8,36.6,9.5,84.5,34.4,74.3,19.9,84.3,47.1,0.37
31070,Sucilá,"3,976",71.7,55.6,16.0,18.4,4.1,5.8,90.1,31.1,25.7,6.0,75.3,14.2,62.4,14.5,75.8,39.2,0.62
31071,Sudzal,"1,736",48.9,38.0,11.0,48.6,0.2,2.2,97.6,48.1,30.2,3.0,85.0,38.8,80.4,8.1,49.2,15.9,0.34
31072,Suma,"1,789",54.4,45.4,9.0,30.9,4.2,10.5,85.3,25.4,26.4,15.9,39.4,13.9,65.5,16.3,58.6,21.8,0.33
31073,Tahdziú,"5,188",94.1,46.1,48.0,5.7,0.1,0.2,99.8,66.7,38.3,2.7,94.9,55.1,88.0,6.7,94.2,70.2,0.40
31074,Tahmek,"3,696",72.3,57.9,14.4,14.1,8.9,4.8,86.4,28.3,27.8,8.5,46.3,22.1,63.7,16.8,81.2,39.6,0.35
31075,Teabo,"6,650",80.5,52.4,28.1,16.0,1.2,2.3,96.5,57.2,40.9,7.1,87.1,33.8,81.5,22.3,81.8,42.2,0.42
31076,Tecoh,"27,494",50.6,43.9,6.7,43.4,2.2,3.8,94.0,48.5,37.5,10.8,55.2,35.3,86.3,22.2,52.8,10.6,0.33
31077,Tekal de Venegas,"2,656",87.8,57.2,30.6,6.7,4.0,1.5,94.5,41.7,33.5,13.9,51.2,31.5,85.0,14.8,91.8,65.2,0.48
31078,Tekantó,"3,843",71.3,55.2,16.1,17.8,5.1,5.8,89.1,34.3,27.9,15.3,49.3,28.0,72.9,11.0,76.4,36.3,0.36
31079,Tekax,"39,632",55.4,43.3,12.1,30.4,3.3,10.9,85.8,41.6,26.5,10.1,70.8,26.4,69.7,11.9,58.7,19.0,0.44
31080,Tekit,"9,094",70.0,56.3,13.7,26.5,1.7,1.8,96.5,53.4,45.9,13.4,80.9,29.6,75.8,11.9,71.7,22.9,0.37
31081,Tekom,"3,262",92.0,54.2,37.8,6.2,0.9,0.9,98.2,52.9,33.9,7.3,84.8,41.2,76.5,13.9,92.9,67.1,0.39
31082,Telchac Pueblo,"3,759",61.0,49.0,12.0,13.3,13.2,12.5,74.3,21.9,22.1,15.4,48.6,11.5,39.1,16.3,74.2,35.7,0.51
31083,Telchac Puerto,"1,804",36.7,33.3,3.4,54.0,1.8,7.5,90.7,18.4,26.0,11.6,78.9,12.0,19.6,18.0,38.5,10.8,0.37
31084,Temax,"7,319",79.4,53.6,25.8,12.5,4.1,4.1,91.8,47.3,37.0,10.2,51.8,31.6,76.7,32.1,83.4,45.1,0.37
31085,Temozón,"11,772",73.3,51.8,21.5,23.9,0.8,2.0,97.2,63.9,39.8,8.4,88.5,32.0,88.9,21.8,74.1,30.1,0.38
31086,Tepakán,"2,165",55.0,42.9,12.1,37.1,2.5,5.5,92.1,41.4,36.4,7.8,54.7,31.0,78.7,16.1,57.4,21.0,0.34
31087,Tetiz,"5,201",64.0,48.7,15.3,28.9,3.1,4.0,92.9,41.9,40.5,8.2,54.5,33.0,71.1,18.9,67.1,26.7,0.34
31088,Teya,"1,945",62.1,46.0,16.1,30.7,2.2,5.1,92.8,44.3,30.1,2.9,64.1,33.3,77.1,19.5,64.3,25.7,0.35
31089,Ticul,"39,171",57.2,45.9,11.3,28.3,3.6,10.9,85.5,44.2,26.3,10.7,76.6,29.4,58.8,19.0,60.8,17.8,0.41
31090,Timucuy,"7,472",61.8,46.0,15.8,34.2,1.4,2.6,96.0,51.8,38.0,12.1,62.5,34.0,87.0,23.3,63.2,25.0,0.32
31091,Tinum,"10,210",65.5,50.4,15.1,30.2,1.3,2.9,95.8,50.0,29.5,11.2,81.4,34.4,79.7,13.2,66.9,23.6,0.39
31092,Tixcacalcupul,"7,265",93.0,48.5,44.5,6.5,0.4,0.1,99.5,64.1,33.1,6.7,90.8,36.4,81.0,38.7,93.4,65.7,0.37
